,brend,category,name,options,orig_name,url,volume,Вид воды,Газированная,Дополнительная информация,Материал упаковки,Состав,Срок годности,Стандарты производства,Тип воды
0,Aqua Angels,Вода,"Вода питьевая AQUA ANGELS негазированная, алюминиевая бутылка","Вода питьевая AQUA ANGELS негазированная, алюминиевая бутылка;Вода питьевая Новотерская негазированная, ПЭТ;Вода природная высшей категории Jevea негазированная, ПЭТ;Вода питьевая Bon Aqua негазированная ПЭТ;Вода питьевая TASSAY негазированная, ПЭТ;Вода питьевая Mever негазированная, ПЭТ","Millstream Питьевая вода негазированная Оштен, 500 мл*От 6-ти бутылок",https://market.yandex.ru/product--voda-pitevaia-aqua-angels-negazirovannaia-aliuminievaia-butylka/184559764,500,,,,металл,,12 мес.,,питьевая
1,BonAqua,Вода,Вода питьевая Bon Aqua газированная ПЭТ,Вода питьевая Bon Aqua газированная ПЭТ,Вода BONAQUA ГАЗ./НЕГАЗ. 1Л,https://market.yandex.ru/product--voda-pitevaia-bon-aqua-gazirovannaia-pet/158327488,1,очищенная,да,общая минерализация 500-1000 мг/л,пластик,"натрий 100-200 мг/л, кальций 25-70 мг/л, магний 10-50 мг/л, калий < 5 мг/л, гидрокарбонаты 250-400 мг/л, хлориды 150-250 мг/л, сульфаты < 30 мг/л","6 мес., при t от 0°C до 35°C",ТУ 0131-007-40227765,питьевая
